time, e1, e2, e3, e4, e5, e6, e7, e8, position 
11,73,111,75,110,59,67,27,28,0
11,71,113,75,109,57,70,25,27,0
11,70,113,75,107,57,71,27,29,0
11,69,113,76,106,58,68,30,31,0
11,66,113,76,107,58,68,31,29,0
11,64,114,75,107,57,67,32,29,0
11,63,113,75,108,57,67,33,29,0
11,64,112,77,108,55,67,30,29,0
11,64,113,78,109,54,69,29,28,0
11,67,112,77,111,54,67,28,30,0
12,63,111,77,111,54,64,29,31,0
12,65,110,74,108,55,66,28,30,0
12,66,110,74,109,57,62,28,29,0
12,65,107,73,107,57,60,25,29,0
12,64,106,70,110,54,63,27,30,0
12,68,108,71,108,56,61,26,32,0
12,67,112,74,107,54,58,29,35,0
12,64,109,74,104,55,62,30,35,0
12,65,109,73,106,54,65,33,36,0
12,64,112,77,99,57,64,34,35,0
12,60,108,77,97,55,68,35,33,0
12,62,108,77,99,56,70,32,29,0
12,65,110,76,100,53,70,31,30,0
12,65,108,74,99,56,68,29,28,0
12,68,108,71,101,54,70,27,28,0
12,70,111,72,104,54,69,27,29,0
12,67,111,72,105,57,66,27,29,0
12,67,111,73,106,58,66,27,29,0
12,69,113,74,107,57,67,27,30,0
12,67,113,75,107,58,70,26,31,0
12,65,114,74,108,58,70,25,30,0
12,65,115,74,108,56,74,27,30,0
12,66,112,72,107,58,71,26,32,0
12,61,110,74,107,56,72,27,34,0
12,62,110,75,108,55,68,27,32,0
12,62,110,75,106,55,66,30,31,0
12,63,109,74,105,56,63,28,29,0
12,61,109,78,103,53,64,30,31,0
12,63,112,76,102,56,61,30,27,0
12,61,110,75,103,56,59,31,28,0
12,61,108,74,101,57,62,29,29,0
12,61,108,74,103,57,63,29,29,0
12,61,107,70,105,54,64,29,27,0
12,61,108,70,107,53,66,30,28,0
12,62,109,71,106,50,67,30,27,0
12,63,111,71,107,48,68,30,28,0
12,64,113,71,106,49,67,30,30,0
12,62,112,69,103,53,67,29,29,0
12,65,109,70,101,49,65,28,30,0
12,64,108,69,98,53,65,27,29,0
12,65,106,69,101,57,64,27,29,0
12,64,105,69,101,55,63,27,27,0
12,63,107,70,101,53,64,26,29,0
12,61,109,69,103,55,64,29,30,0
12,60,108,72,107,54,63,29,33,0
12,62,109,70,106,50,63,28,35,0
12,62,110,72,107,52,65,28,34,0
12,63,109,73,109,54,64,28,33,0
12,64,109,73,108,53,63,25,31,0
12,64,111,73,107,53,63,25,28,0
13,64,110,76,108,55,62,26,24,0
13,63,109,73,107,54,64,27,26,0
13,66,109,72,105,52,64,29,27,0
13,64,108,72,107,50,68,28,28,0
13,66,105,70,105,52,69,27,29,0
13,64,104,67,102,50,68,26,29,0
13,65,104,69,103,50,66,27,29,0
13,62,102,68,103,49,65,27,30,0
13,61,105,69,102,51,62,27,28,0
13,59,106,69,100,52,59,27,29,0
13,58,107,69,105,53,60,29,28,0
13,58,103,71,101,51,61,28,28,0
13,63,104,70,100,55,61,29,29,0
13,64,103,69,99,54,63,28,33,0
13,65,102,69,99,52,63,29,37,0
13,65,107,71,97,54,62,29,40,0
13,63,109,69,101,56,61,28,41,0
13,59,109,72,101,54,59,28,41,0
13,60,111,73,104,53,61,29,38,0
13,63,112,74,105,52,65,30,32,0
13,65,110,71,105,51,67,28,29,0
13,64,110,72,105,51,66,29,26,0
13,64,109,69,105,52,67,29,22,0
13,65,108,68,104,53,66,29,26,0
13,62,109,66,104,53,62,28,26,0
13,62,111,68,105,53,61,30,25,0
13,63,109,67,104,54,64,28,25,0
13,66,109,67,104,51,64,27,27,0
13,62,111,68,104,51,63,27,25,0
13,61,111,71,105,51,63,31,26,0
13,60,109,70,103,51,62,28,29,0
13,59,110,69,102,49,62,27,28,0
13,56,114,70,105,49,61,27,29,0
13,59,110,70,104,49,64,27,28,0
13,59,109,68,103,49,64,24,29,0
13,58,112,69,104,48,67,26,29,0
13,58,109,70,104,48,68,29,30,0
13,57,108,70,102,49,68,29,29,0
13,57,109,71,101,52,66,30,31,0
13,57,106,71,100,53,65,30,29,0
13,58,105,70,101,54,63,29,28,0
13,61,107,70,102,55,59,28,27,0
13,64,106,71,100,54,61,29,28,0
13,63,106,69,101,51,62,27,26,0
13,64,110,69,104,49,63,27,26,0
13,63,109,68,104,47,64,27,28,0
13,60,106,68,103,49,66,26,28,0
13,59,106,66,103,47,64,24,28,0
13,60,105,67,103,50,64,25,29,0
13,61,104,66,102,51,65,25,30,0
14,61,107,66,100,54,62,24,28,0
14,64,108,66,101,51,65,26,28,0
14,62,109,67,102,54,65,26,28,0
14,62,111,66,105,55,66,27,28,0
14,63,110,68,105,54,66,28,27,0
14,61,109,68,110,52,67,28,28,0
14,62,107,72,108,52,64,29,32,0
14,62,110,71,108,47,63,29,30,0
14,63,108,73,104,46,64,28,30,0
14,59,107,72,104,44,60,25,30,0
14,60,108,71,102,45,61,26,29,0
14,58,108,69,102,46,61,24,25,0
14,58,106,70,104,49,61,25,31,0
14,56,107,69,104,50,62,26,32,0
